origin,destination,number_of_passengers
"Houston, TX","Louisville, KY",253.66666666666666
"Houston, TX","Sacramento, CA",342.8333333333333
"Houston, TX","Tampa, FL (Metropolitan Area)",777.5
"Houston, TX","Kansas City, MO",633.75
"Houston, TX","San Antonio, TX",303.0
"Houston, TX","Memphis, TN",376.5
"Houston, TX","Omaha, NE",315.85714285714283
"Houston, TX","Milwaukee, WI",328.25
"Houston, TX","New Orleans, LA",1426.0
"Houston, TX","San Diego, CA",878.0
"Houston, TX","Norfolk, VA (Metropolitan Area)",222.5
"Houston, TX","Oklahoma City, OK",623.0
"Houston, TX","Portland, OR",447.6666666666667
"Houston, TX","Raleigh/Durham, NC",542.0
"Houston, TX","Washington, DC (Metropolitan Area)",2575.3333333333335
"Houston, TX","Philadelphia, PA",879.75
"Houston, TX","Salt Lake City, UT",617.75
"Houston, TX","Lubbock, TX",236.5
"Houston, TX","Midland/Odessa, TX",737.75
"Houston, TX","Tulsa, OK",606.0
"Houston, TX","Richmond, VA",215.0
"Houston, TX","Harlingen/San Benito, TX",224.5
"Houston, TX","Atlanta, GA (Metropolitan Area)",2251.5
"Houston, TX","Charlotte, NC",762.25
"Orlando, FL","Albany, NY",707.5
"Orlando, FL","Hartford, CT",1350.0
"Orlando, FL","Birmingham, AL",388.0
"Orlando, FL","Nashville, TN",1040.5
"Orlando, FL","Buffalo, NY",1182.5
"Orlando, FL","Columbus, OH",964.5
"Orlando, FL","Pittsburgh, PA",1172.0
"Orlando, FL","St. Louis, MO",1005.0
"Orlando, FL","San Francisco, CA (Metropolitan Area)",1554.0
"Orlando, FL","Sacramento, CA",385.75
"Orlando, FL","San Antonio, TX",523.5
"Orlando, FL","San Diego, CA",696.3333333333334
"Orlando, FL","Portland, OR",526.0
"Orlando, FL","Raleigh/Durham, NC",969.4285714285714
"Orlando, FL","Rochester, NY",352.14285714285717
"Orlando, FL","Washington, DC (Metropolitan Area)",5361.25
"Orlando, FL","Portland, ME",217.0
"Orlando, FL","Tulsa, OK",206.0
"Orlando, FL","New York City, NY (Metropolitan Area)",11163.0
"Orlando, FL","Grand Rapids, MI",621.0
"Orlando, FL","Las Vegas, NV",1117.75
"Orlando, FL","Indianapolis, IN",1163.75
"Orlando, FL","Miami, FL (Metropolitan Area)",731.0
"Orlando, FL","Louisville, KY",337.25
"Orlando, FL","Kansas City, MO",786.0
"Orlando, FL","Memphis, TN",440.5
"Orlando, FL","Omaha, NE",346.8
"Orlando, FL","Milwaukee, WI",961.0
"Orlando, FL","New Orleans, LA",758.75
"Orlando, FL","Norfolk, VA (Metropolitan Area)",377.75
"Orlando, FL","Oklahoma City, OK",282.0
"Orlando, FL","Des Moines, IA",204.0
"Orlando, FL","Atlanta, GA (Metropolitan Area)",2175.5
"Las Vegas, NV","Hartford, CT",282.8
"Las Vegas, NV","El Paso, TX",337.25
"Las Vegas, NV","Cleveland, OH (Metropolitan Area)",806.0
"Las Vegas, NV","Boise, ID",326.75
"Las Vegas, NV","Buffalo, NY",353.6666666666667
"Las Vegas, NV","Columbus, OH",568.5
"Las Vegas, NV","Jacksonville, FL",243.0
"Las Vegas, NV","Pittsburgh, PA",649.5
"Las Vegas, NV","Nashville, TN",698.5
"Las Vegas, NV","St. Louis, MO",883.5
"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",6646.8
"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",6588.25
"Las Vegas, NV","Louisville, KY",299.75
"Las Vegas, NV","Sacramento, CA",964.75
"Las Vegas, NV","Tampa, FL (Metropolitan Area)",846.0
"Las Vegas, NV","San Antonio, TX",901.5
"Las Vegas, NV","Omaha, NE",500.75
"Las Vegas, NV","Milwaukee, WI",693.5
"Las Vegas, NV","New Orleans, LA",601.5
"Las Vegas, NV","San Diego, CA",1439.0
"Las Vegas, NV","Norfolk, VA (Metropolitan Area)",181.0
"Las Vegas, NV","Oklahoma City, OK",384.0
"Las Vegas, NV","Portland, OR",1589.0
"Las Vegas, NV","Raleigh/Durham, NC",600.0
"Las Vegas, NV","Reno, NV",1079.75
"Las Vegas, NV","Washington, DC (Metropolitan Area)",2578.0
"Las Vegas, NV","Tucson, AZ",276.42857142857144
"Las Vegas, NV","Seattle, WA",2943.6666666666665
"Las Vegas, NV","Salt Lake City, UT",1048.0
"Las Vegas, NV","Spokane, WA",371.14285714285717
"Las Vegas, NV","Tulsa, OK",267.75
