origin,destination,nsmiles
"Los Angeles, CA (Metropolitan Area)","Grand Rapids, MI",3010
"Los Angeles, CA (Metropolitan Area)","Indianapolis, IN",2912
"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",3430
"Los Angeles, CA (Metropolitan Area)","Nashville, TN",2886
"Los Angeles, CA (Metropolitan Area)","St. Louis, MO",2565
"Los Angeles, CA (Metropolitan Area)","Louisville, KY",2958
"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",600
"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",3466
"Los Angeles, CA (Metropolitan Area)","San Antonio, TX",1944
"Los Angeles, CA (Metropolitan Area)","Omaha, NE",2137
"Los Angeles, CA (Metropolitan Area)","Milwaukee, WI",2820
"Los Angeles, CA (Metropolitan Area)","New Orleans, LA",2682
"Los Angeles, CA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",3807
"Los Angeles, CA (Metropolitan Area)","Oklahoma City, OK",1906
"Los Angeles, CA (Metropolitan Area)","Portland, OR",1343
"Los Angeles, CA (Metropolitan Area)","Raleigh/Durham, NC",3606
"Los Angeles, CA (Metropolitan Area)","Reno, NV",629
"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",724
"Los Angeles, CA (Metropolitan Area)","Spokane, WA",1522
"Los Angeles, CA (Metropolitan Area)","Tulsa, OK",2060
"Los Angeles, CA (Metropolitan Area)","Wichita, KS",1931
"Los Angeles, CA (Metropolitan Area)","Little Rock, AR",2398
"Los Angeles, CA (Metropolitan Area)","Kansas City, MO",2189
"Los Angeles, CA (Metropolitan Area)","Des Moines, IA",2323
"Los Angeles, CA (Metropolitan Area)","Atlanta, GA (Metropolitan Area)",3125
"San Diego, CA","Pittsburgh, PA",3382
"San Diego, CA","Hartford, CT",4017
"San Diego, CA","Cleveland, OH (Metropolitan Area)",3254
"San Diego, CA","Nashville, TN",2812
"San Diego, CA","Boise, ID",1207
"San Diego, CA","Columbus, OH",3154
"San Diego, CA","Jacksonville, FL",3355
"San Diego, CA","Indianapolis, IN",2862
"San Diego, CA","Miami, FL (Metropolitan Area)",3642
"San Diego, CA","Sacramento, CA",772
"San Diego, CA","Kansas City, MO",2142
"San Diego, CA","San Antonio, TX",1814
"San Diego, CA","Milwaukee, WI",2793
"San Diego, CA","New Orleans, LA",2568
"San Diego, CA","St. Louis, MO",2509
"San Diego, CA","Tampa, FL (Metropolitan Area)",3352
"San Diego, CA","Washington, DC (Metropolitan Area)",3618
"San Diego, CA","Tucson, AZ",590
"San Diego, CA","Seattle, WA",1692
"San Diego, CA","Spokane, WA",1655
"San Diego, CA","Norfolk, VA (Metropolitan Area)",3741
"San Diego, CA","Oklahoma City, OK",1825
"San Diego, CA","Portland, OR",1502
"San Diego, CA","Raleigh/Durham, NC",3532
"San Diego, CA","Reno, NV",787
"San Diego, CA","Atlanta, GA (Metropolitan Area)",3037
"San Diego, CA","Detroit, MI",3142
"San Diego, CA","Philadelphia, PA",3805
"San Diego, CA","Salt Lake City, UT",1008
"Portland, OR","Nashville, TN",3167
"Portland, OR","Indianapolis, IN",3012
"Portland, OR","Miami, FL (Metropolitan Area)",4340
"Portland, OR","Kansas City, MO",2378
"Portland, OR","Omaha, NE",2196
"Portland, OR","Milwaukee, WI",2756
"Portland, OR","New Orleans, LA",3295
"Portland, OR","St. Louis, MO",2756
"Portland, OR","Sacramento, CA",770
"Portland, OR","Tampa, FL (Metropolitan Area)",4013
"Portland, OR","Reno, NV",715
"Portland, OR","Washington, DC (Metropolitan Area)",3736
"Portland, OR","Tucson, AZ",1802
"Portland, OR","Philadelphia, PA",3862
"Washington, DC (Metropolitan Area)","Pittsburgh, PA",293
"Washington, DC (Metropolitan Area)","Albany, NY",522
"Washington, DC (Metropolitan Area)","Hartford, CT",523
"Washington, DC (Metropolitan Area)","Birmingham, AL",1025
"Washington, DC (Metropolitan Area)","El Paso, TX",2726
"Washington, DC (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",463
"Washington, DC (Metropolitan Area)","Nashville, TN",871
"Washington, DC (Metropolitan Area)","Boise, ID",3251
"Washington, DC (Metropolitan Area)","Buffalo, NY",457
"Washington, DC (Metropolitan Area)","Columbus, OH",481
"Washington, DC (Metropolitan Area)","St. Louis, MO",1109
"Washington, DC (Metropolitan Area)","Jacksonville, FL",1015
"Washington, DC (Metropolitan Area)","Panama City, FL",1227
"Washington, DC (Metropolitan Area)","Fort Myers, FL",1436
"Washington, DC (Metropolitan Area)","Grand Rapids, MI",806
"Washington, DC (Metropolitan Area)","Indianapolis, IN",764
"Washington, DC (Metropolitan Area)","Miami, FL (Metropolitan Area)",1486
"Washington, DC (Metropolitan Area)","Little Rock, AR",1393
"Washington, DC (Metropolitan Area)","Louisville, KY",724
"Washington, DC (Metropolitan Area)","Sacramento, CA",3785
"Washington, DC (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1306
"Washington, DC (Metropolitan Area)","Kansas City, MO",1487
"Washington, DC (Metropolitan Area)","San Antonio, TX",2189
"Washington, DC (Metropolitan Area)","Memphis, TN",1192
"Washington, DC (Metropolitan Area)","Omaha, NE",1586
"Washington, DC (Metropolitan Area)","Milwaukee, WI",982
"Washington, DC (Metropolitan Area)","New Orleans, LA",1536
"Washington, DC (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",253
"Washington, DC (Metropolitan Area)","Oklahoma City, OK",1824
"Washington, DC (Metropolitan Area)","Raleigh/Durham, NC",385
"Washington, DC (Metropolitan Area)","Reno, NV",3611
"Washington, DC (Metropolitan Area)","Rochester, NY",464
"Washington, DC (Metropolitan Area)","Des Moines, IA",1403
"Washington, DC (Metropolitan Area)","West Palm Beach/Palm Beach, FL",1385
"Washington, DC (Metropolitan Area)","Atlanta, GA (Metropolitan Area)",859
"Washington, DC (Metropolitan Area)","Tucson, AZ",3104
"Washington, DC (Metropolitan Area)","Seattle, WA",3701
"Washington, DC (Metropolitan Area)","Charlotte, NC",517
"Washington, DC (Metropolitan Area)","Detroit, MI",616
"Washington, DC (Metropolitan Area)","Minneapolis/St. Paul, MN",1458
"Washington, DC (Metropolitan Area)","Greenville/Spartanburg, SC",617
"Washington, DC (Metropolitan Area)","Cincinnati, OH",623
"Washington, DC (Metropolitan Area)","Pensacola, FL",1293
"Washington, DC (Metropolitan Area)","Portland, ME",3736
"Washington, DC (Metropolitan Area)","Salt Lake City, UT",2934
"Atlanta, GA (Metropolitan Area)","Albany, NY",1372
"Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",847
"Atlanta, GA (Metropolitan Area)","Hartford, CT",1382
"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",893
"Atlanta, GA (Metropolitan Area)","Nashville, TN",344
"Atlanta, GA (Metropolitan Area)","Columbus, OH",720
"Atlanta, GA (Metropolitan Area)","St. Louis, MO",763
"Atlanta, GA (Metropolitan Area)","Jacksonville, FL",434
"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",1222
"Atlanta, GA (Metropolitan Area)","Fort Myers, FL",830
"Atlanta, GA (Metropolitan Area)","Grand Rapids, MI",1032
"Atlanta, GA (Metropolitan Area)","Indianapolis, IN",696
"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",959
"Atlanta, GA (Metropolitan Area)","Little Rock, AR",727
"Atlanta, GA (Metropolitan Area)","Sacramento, CA",3359
"Atlanta, GA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",654
